time,Niger
1/29/2015 15:30,0.435251568
1/29/2015 16:30,0.179391151
1/29/2015 17:30,0.01672483
1/29/2015 18:30,0
1/29/2015 19:30,0
1/29/2015 20:30,0
1/29/2015 21:30,0
1/29/2015 22:30,0
1/29/2015 23:30,0
1/30/2015 0:30,0
1/30/2015 1:30,0
1/30/2015 2:30,0
1/30/2015 3:30,0
1/30/2015 4:30,0
1/30/2015 5:30,0.000670348
1/30/2015 6:30,0.077108974
1/30/2015 7:30,0.326071197
1/30/2015 8:30,0.58378361
1/30/2015 9:30,0.781954397
1/30/2015 10:30,0.89454954
1/30/2015 11:30,0.94346946
1/30/2015 12:30,0.921688997
1/30/2015 13:30,0.827820934
1/30/2015 14:30,0.667845931
1/30/2015 15:30,0.437422517
1/30/2015 16:30,0.179812836
1/30/2015 17:30,0.016880724
1/30/2015 18:30,0
1/30/2015 19:30,0
1/30/2015 20:30,0
1/30/2015 21:30,0
1/30/2015 22:30,0
1/30/2015 23:30,0
1/31/2015 0:30,0
1/31/2015 1:30,0
1/31/2015 2:30,0
1/31/2015 3:30,0
1/31/2015 4:30,0
1/31/2015 5:30,0.000706715
1/31/2015 6:30,0.073686657
1/31/2015 7:30,0.313225411
1/31/2015 8:30,0.563204087
1/31/2015 9:30,0.759938259
1/31/2015 10:30,0.870782368
1/31/2015 11:30,0.915314065
1/31/2015 12:30,0.889414448
1/31/2015 13:30,0.79322399
1/31/2015 14:30,0.629278779
1/31/2015 15:30,0.411565017
1/31/2015 16:30,0.171832942
1/31/2015 17:30,0.017150989
1/31/2015 18:30,0
1/31/2015 19:30,0
1/31/2015 20:30,0
1/31/2015 21:30,0
1/31/2015 22:30,0
1/31/2015 23:30,0
2/1/2015 0:30,0
2/1/2015 1:30,0
2/1/2015 2:30,0
2/1/2015 3:30,0
2/1/2015 4:30,0
2/1/2015 5:30,0.000693952
2/1/2015 6:30,0.074284586
2/1/2015 7:30,0.315520903
2/1/2015 8:30,0.566670829
2/1/2015 9:30,0.758928961
2/1/2015 10:30,0.866453667
2/1/2015 11:30,0.911960962
2/1/2015 12:30,0.88971136
2/1/2015 13:30,0.803844296
2/1/2015 14:30,0.64721125
2/1/2015 15:30,0.428740865
2/1/2015 16:30,0.179800377
2/1/2015 17:30,0.017571825
2/1/2015 18:30,0
2/1/2015 19:30,0
2/1/2015 20:30,0
2/1/2015 21:30,0
2/1/2015 22:30,0
2/1/2015 23:30,0
2/2/2015 0:30,0
2/2/2015 1:30,0
2/2/2015 2:30,0
2/2/2015 3:30,0
2/2/2015 4:30,0
2/2/2015 5:30,0.000694751
2/2/2015 6:30,0.075449297
2/2/2015 7:30,0.316695453
2/2/2015 8:30,0.563776709
2/2/2015 9:30,0.757609031
2/2/2015 10:30,0.864877625
2/2/2015 11:30,0.911272747
2/2/2015 12:30,0.891310716
2/2/2015 13:30,0.80255789
2/2/2015 14:30,0.64553472
2/2/2015 15:30,0.427015121
2/2/2015 16:30,0.18033573
2/2/2015 17:30,0.018106853
2/2/2015 18:30,0
2/2/2015 19:30,0
2/2/2015 20:30,0
2/2/2015 21:30,0
2/2/2015 22:30,0
2/2/2015 23:30,0
2/3/2015 0:30,0
2/3/2015 1:30,0
2/3/2015 2:30,0
2/3/2015 3:30,0
2/3/2015 4:30,0
2/3/2015 5:30,0.000740116
2/3/2015 6:30,0.076683376
2/3/2015 7:30,0.319680466
2/3/2015 8:30,0.567217523
2/3/2015 9:30,0.761158394
2/3/2015 10:30,0.866117076
2/3/2015 11:30,0.913681246
2/3/2015 12:30,0.893615737
2/3/2015 13:30,0.805161815
2/3/2015 14:30,0.648152776
2/3/2015 15:30,0.429553263
2/3/2015 16:30,0.180923162
2/3/2015 17:30,0.018461597
2/3/2015 18:30,0
2/3/2015 19:30,0
2/3/2015 20:30,0
2/3/2015 21:30,0
2/3/2015 22:30,0
2/3/2015 23:30,0
2/4/2015 0:30,0
2/4/2015 1:30,0
2/4/2015 2:30,0
2/4/2015 3:30,0
2/4/2015 4:30,0
2/4/2015 5:30,0.000778448
2/4/2015 6:30,0.077426838
2/4/2015 7:30,0.321601861
2/4/2015 8:30,0.568986949
2/4/2015 9:30,0.761790877
2/4/2015 10:30,0.867818395
2/4/2015 11:30,0.912429714
2/4/2015 12:30,0.892846086
2/4/2015 13:30,0.805898916
2/4/2015 14:30,0.64959027
2/4/2015 15:30,0.431327147
2/4/2015 16:30,0.182538637
2/4/2015 17:30,0.018888409
2/4/2015 18:30,0
2/4/2015 19:30,0
2/4/2015 20:30,0
2/4/2015 21:30,0
2/4/2015 22:30,0
2/4/2015 23:30,0
2/5/2015 0:30,0
2/5/2015 1:30,0
2/5/2015 2:30,0
2/5/2015 3:30,0
2/5/2015 4:30,0
2/5/2015 5:30,0.000824922
2/5/2015 6:30,0.078391231
2/5/2015 7:30,0.321331224
2/5/2015 8:30,0.56580748
2/5/2015 9:30,0.754457797
2/5/2015 10:30,0.858943954
2/5/2015 11:30,0.901533538
2/5/2015 12:30,0.869312688
2/5/2015 13:30,0.798335778
2/5/2015 14:30,0.64542363
2/5/2015 15:30,0.426249273
2/5/2015 16:30,0.182523852
2/5/2015 17:30,0.019278289
2/5/2015 18:30,0
2/5/2015 19:30,0
2/5/2015 20:30,0
2/5/2015 21:30,0
2/5/2015 22:30,0
2/5/2015 23:30,0
2/6/2015 0:30,0
2/6/2015 1:30,0
2/6/2015 2:30,0
2/6/2015 3:30,0
2/6/2015 4:30,0
2/6/2015 5:30,0.000844061
2/6/2015 6:30,0.077690057
2/6/2015 7:30,0.319607319
2/6/2015 8:30,0.564910559
2/6/2015 9:30,0.756551675
2/6/2015 10:30,0.86114717
2/6/2015 11:30,0.906067314
2/6/2015 12:30,0.887334097
2/6/2015 13:30,0.801030099
2/6/2015 14:30,0.648395573
2/6/2015 15:30,0.432277419
2/6/2015 16:30,0.184650008
